day,n_obs,h_n,n_blocks,n_candidates,max_abs_std,scale
2024-03-15,86400,44,1962,247,13.725682936943068,0.0008502445405952082
2024-03-16,86400,44,1962,241,10.86395069482808,0.0005423776131151287
2024-03-17,86400,44,1962,214,9.355174290351876,0.0005100477855766229
2024-03-18,86400,44,1962,223,8.562810974563863,0.0005054062666565905
2024-03-19,86400,44,1962,229,9.784671776409843,0.0007994487020724987
2024-03-20,86400,44,1962,233,8.36114126405244,0.000799834457127919
2024-03-21,86400,44,1962,241,7.181219807785397,0.0005528487015327899
2024-03-22,86400,44,1962,267,9.28044628964751,0.0005530733501559897
2024-03-23,86400,44,1962,238,11.909767353027055,0.0003821188039612922
2024-03-24,86400,44,1962,211,10.068449110701374,0.000415426023517303
2024-03-25,86400,44,1962,237,9.281260839705498,0.00044874244925237344
2024-03-26,86400,44,1962,292,9.537704971869637,0.00038243134621056426
2024-03-27,86400,44,1962,246,20.659617629036124,0.0004223189004743746
2024-03-28,86400,44,1962,220,10.181959687385632,0.0003714255404173137
2024-03-29,86400,44,1962,262,17.0242050506141,0.00026910176642934474
