epoch,train_loss,val_loss,time_s,member,seed
0,0.4018114939812691,0.35103640508651734,28.734034300025087,0,20260508
1,0.31522028100106025,0.2960122544765472,28.692997299978742,0,20260508
2,0.2840915822213696,0.27917950677871706,27.516087299998617,0,20260508
3,0.27086536538216377,0.26687769746780393,32.39542019998771,0,20260508
4,0.25896759667704183,0.25808501768112185,25.383639300009236,0,20260508
5,0.24514457295017858,0.2393790445327759,25.70702169998549,0,20260508
6,0.23610410574943788,0.2366439127922058,28.076184600009583,0,20260508
7,0.22847898640940267,0.21982071006298065,27.380195000005187,0,20260508
8,0.22436843475987833,0.21850981593132018,29.909157499991124,0,20260508
9,0.21363482456053456,0.22887853682041168,28.93926260000444,0,20260508
10,0.2155338828602145,0.21442990899085998,36.70498320000479,0,20260508
11,0.20932374125526798,0.21232281649112703,27.71694060001755,0,20260508
0,0.3888108663020595,0.33967260527610776,22.03739390001283,1,20261508
1,0.3064553718413076,0.3033638048171997,70.17329430000973,1,20261508
2,0.2879508772203999,0.28616183614730833,36.6846786000242,1,20261508
3,0.27785880142642605,0.2771539926528931,24.291282999998657,1,20261508
4,0.2714644016758088,0.27386998414993285,33.35518840001896,1,20261508
5,0.2630362981750119,0.2655753970146179,23.730676799983485,1,20261508
6,0.25545802375962656,0.2624865777492523,26.344101099995896,1,20261508
7,0.24907579489292636,0.2516463100910187,42.25189590000082,1,20261508
8,0.23564996786655917,0.23539626336097716,36.97242559998995,1,20261508
9,0.22539131343364716,0.235736328125,45.43832789998851,1,20261508
10,0.222025252157642,0.22647680938243867,42.91424350001034,1,20261508
11,0.21287550032138824,0.21769801139831543,39.11075740001979,1,20261508
0,0.39320295087752805,0.33779940962791444,21.596324699989054,2,20262508
1,0.30611886132148003,0.29263518023490903,24.151735499995993,2,20262508
2,0.28572724038554775,0.27858186984062194,23.501509100024123,2,20262508
3,0.2736364920293131,0.26749540185928344,21.21494299999904,2,20262508
4,0.2647318373764715,0.27295670461654664,26.30262010000297,2,20262508
5,0.2554970907588159,0.2526200141906738,29.614794399996754,2,20262508
6,0.24673617318753274,0.23785035514831543,34.011736199987354,2,20262508
7,0.2378861577280106,0.2470648832321167,62.19494499999564,2,20262508
8,0.23147826810036937,0.22638154089450835,61.403649300016696,2,20262508
9,0.2317295382099767,0.22457536399364472,42.61666940001305,2,20262508
10,0.21822316560053057,0.2155018241405487,21.279870300000766,2,20262508
11,0.2129748708778812,0.2126965970993042,38.45301130000735,2,20262508
0,0.3882688456966031,0.307452942609787,40.32548679999309,3,20263508
1,0.3032977148409813,0.29391647458076475,50.84044780000113,3,20263508
2,0.28569990973318776,0.2774548625946045,37.773059500003,3,20263508
3,0.27479258468074186,0.2690327980518341,22.973145900003146,3,20263508
4,0.26602521490666176,0.2578719240427017,27.612113200011663,3,20263508
5,0.25656398554002086,0.24925493669509888,39.71750269999029,3,20263508
6,0.24773605456275324,0.24102328050136565,29.7355297000031,3,20263508
7,0.24142492250088723,0.2439783169031143,40.521457399998326,3,20263508
8,0.23806020857826357,0.24831997215747834,33.562232700001914,3,20263508
9,0.23207024508906948,0.22072231817245483,32.68163450001157,3,20263508
10,0.22374325461925998,0.2342535651922226,24.047548200003803,3,20263508
11,0.21706786078791465,0.2137255333662033,24.72267920000013,3,20263508
0,0.38938556467333146,0.34571885800361635,27.727130199986277,4,20264508
1,0.31601162110605546,0.3026975417137146,27.947076399985235,4,20264508
2,0.2889785055191286,0.2893617420196533,29.50456810000469,4,20264508
3,0.27398681736761527,0.27031086921691894,35.94532790000085,4,20264508
4,0.2634260226641932,0.26426827120780944,24.492946000013035,4,20264508
5,0.2501764936793235,0.24832533383369446,24.201153100002557,4,20264508
6,0.2475753527495169,0.24416387844085694,20.66404020000482,4,20264508
7,0.2363456098302718,0.23211343741416932,31.005969400022877,4,20264508
8,0.22541070801596488,0.23090772032737733,25.793122600007337,4,20264508
9,0.21958797064519697,0.22384668612480163,24.462745800003177,4,20264508
10,0.2148782644541033,0.2161947774887085,36.60746480000671,4,20264508
11,0.2084478413866412,0.22240186619758606,29.84817749998183,4,20264508
