epoch,train_loss,val_loss,time_s
0,0.34253102388137424,0.2986092448234558,70.26741839999158
1,0.275159590328351,0.26663337874412535,63.6858646000037
2,0.25252576821889633,0.2420910531282425,54.8463611999905
3,0.23471156182961586,0.22606459939479828,53.947503900009906
4,0.2172563387415348,0.20955214428901672,47.3350114000059
5,0.20767759722776902,0.20560740947723388,46.65876599999319
6,0.20093990040895265,0.2176820526123047,48.481117699993774
7,0.19784802332138404,0.20399220991134642,45.08562169999641
8,0.19184437623390785,0.18862689960002899,45.52255850000074
9,0.18646323623565528,0.1872968864440918,44.84254769999825
10,0.18207303033425257,0.18822021770477296,47.74686300000758
11,0.17709115606087905,0.1750975250005722,45.80153150000842
12,0.1708139419937745,0.166283149600029,47.175499899996794
13,0.16094809063734153,0.16168900227546693,44.747538800002076
14,0.1570869701413008,0.15258097517490388,46.094639800008736
15,0.14552533301787499,0.1500317186117172,45.630985700001474
16,0.14812429669575813,0.14595001435279847,45.69772739999462
17,0.13866328180600435,0.13741041147708893,49.00938760000281
18,0.137293313176204,0.1414737240076065,44.32009540000581
19,0.13309945395359626,0.13565948629379274,47.979948699998204
