Z,RV,BV,QP,n,reject,day
18.03174900876907,0.003161727917667818,0.0027837382405350316,4.832677920945434e-05,86399,True,2024-03-15
45.246486954686866,0.0012672961168709663,0.0009621837748583003,3.7188233427817234e-06,86399,True,2024-03-16
59.313896776938456,0.0011719327422145208,0.0008282430598456271,2.37917390482307e-06,86399,True,2024-03-17
63.522486726518636,0.0011555388295100373,0.000852027309967789,1.760877713470439e-06,86399,True,2024-03-18
46.91960464972239,0.0026769131747297874,0.0022451061324372554,8.452239864577768e-06,86399,True,2024-03-19
38.83218525292952,0.002778030299860038,0.0023286514069787733,1.3349732411712473e-05,86399,True,2024-03-20
55.356785167623585,0.0012093703116025074,0.0009441711051791382,1.9846384514580693e-06,86399,True,2024-03-21
46.586629150151325,0.0013644719429380472,0.0010742149076636157,3.4134374029919096e-06,86399,True,2024-03-22
70.81337367905367,0.0006032788413774693,0.0003665288255168307,5.853632095414005e-07,86399,True,2024-03-23
61.21338926212098,0.0006049606570859274,0.0003962038566899357,7.077297025427097e-07,86399,True,2024-03-24
47.226215236566894,0.0009641595507599336,0.0007171861914252573,2.146820998092191e-06,86399,True,2024-03-25
45.35976118675709,0.0007114680265533995,0.0005067518134898854,1.4660159150206626e-06,86399,True,2024-03-26
24.627247929583845,0.000997389985202808,0.0007743389054756287,7.014632554395798e-06,86399,True,2024-03-27
71.528526545672,0.0005585931216743359,0.00036577829254698846,4.420413258305387e-07,86399,True,2024-03-28
45.96399343212862,0.00030932562374576624,0.0001857565609057768,3.697740286143196e-07,86399,True,2024-03-29
