TP,FP,FN,precision,recall,F1,method,day,n_detected,n_truth
42,22,18,0.65625,0.7,0.6774193548387096,raw_lomn,2024-03-27,64,60
29,1069,31,0.026411657559198543,0.48333333333333334,0.05008635578583765,lee_mykland,2024-03-27,1098,60
52,40,8,0.5652173913043478,0.8666666666666667,0.6842105263157895,lomn_xgb,2024-03-27,92,60
32,29,28,0.5245901639344263,0.5333333333333333,0.5289256198347108,pure_ml,2024-03-27,61,60
19,14,17,0.5757575757575758,0.5277777777777778,0.5507246376811594,raw_lomn,2024-03-28,33,36
22,1241,14,0.01741884402216944,0.6111111111111112,0.03387220939183988,lee_mykland,2024-03-28,1263,36
23,27,13,0.46,0.6388888888888888,0.5348837209302325,lomn_xgb,2024-03-28,50,36
7,9,29,0.4375,0.19444444444444445,0.2692307692307693,pure_ml,2024-03-28,16,36
19,20,13,0.48717948717948717,0.59375,0.5352112676056338,raw_lomn,2024-03-29,39,32
20,2010,12,0.009852216748768473,0.625,0.019398642095053348,lee_mykland,2024-03-29,2030,32
24,24,8,0.5,0.75,0.6,lomn_xgb,2024-03-29,48,32
8,6,24,0.5714285714285714,0.25,0.34782608695652173,pure_ml,2024-03-29,14,32
