day,hour,rv,regime
2024-03-27,0,2.5659072474975666e-05,high
2024-03-27,1,2.1850468533949152e-05,high
2024-03-27,2,1.8954738431333226e-05,mid
2024-03-27,3,1.3576045139584782e-05,mid
2024-03-27,4,1.2355451133798076e-05,mid
2024-03-27,5,1.1016785241875467e-05,low
2024-03-27,6,7.949320901205756e-06,low
2024-03-27,7,2.2767977294375994e-05,high
2024-03-27,8,1.5006622819415661e-05,mid
2024-03-27,9,2.413050669721792e-05,high
2024-03-27,10,1.2629853580497073e-05,mid
2024-03-27,11,1.1573230043108876e-05,mid
2024-03-27,12,1.034764801934707e-05,low
2024-03-27,13,0.00019783935801389194,high
2024-03-27,14,0.00023884786236178055,high
2024-03-27,15,9.887301315469913e-05,high
2024-03-27,16,7.420911854233137e-05,high
2024-03-27,17,2.9206890337973985e-05,high
2024-03-27,18,5.1876806433154896e-05,high
2024-03-27,19,3.76801558980244e-05,high
2024-03-27,20,1.910900298399891e-05,mid
2024-03-27,21,8.290074961479988e-06,low
2024-03-27,22,1.514311464277407e-05,mid
2024-03-27,23,1.8496867562014057e-05,mid
2024-03-28,0,4.8177026406977485e-05,high
2024-03-28,1,1.4514765086058367e-05,mid
2024-03-28,2,2.1506295326597006e-05,high
2024-03-28,3,1.3295515454368605e-05,mid
2024-03-28,4,1.316815970843025e-05,mid
2024-03-28,5,8.612590008031663e-06,low
2024-03-28,6,2.8138622153140937e-05,high
2024-03-28,7,2.0595618336431165e-05,high
2024-03-28,8,2.307977950357871e-05,high
2024-03-28,9,1.7353315007493358e-05,mid
2024-03-28,10,1.8644712022381437e-05,mid
2024-03-28,11,1.9766594716317835e-05,high
2024-03-28,12,2.3996533668372126e-05,high
2024-03-28,13,6.74021906362231e-05,high
2024-03-28,14,7.000297007805e-05,high
2024-03-28,15,4.003169674068046e-05,high
2024-03-28,16,3.3743889926585865e-05,high
2024-03-28,17,1.773504028250384e-05,mid
2024-03-28,18,1.304494851127072e-05,mid
2024-03-28,19,1.4234251852291192e-05,mid
2024-03-28,20,7.292829719907112e-06,low
2024-03-28,21,4.680609159671703e-06,low
2024-03-28,22,8.681965212218169e-06,low
2024-03-28,23,1.0893202156754836e-05,low
2024-03-29,0,7.86934733068823e-06,low
2024-03-29,1,6.327922772105986e-06,low
2024-03-29,2,5.316126816727194e-06,low
2024-03-29,3,8.386718000099438e-06,low
2024-03-29,4,6.122588570547348e-06,low
2024-03-29,5,7.036124957459641e-06,low
2024-03-29,6,8.832462114812397e-06,low
2024-03-29,7,1.666284098768439e-05,mid
2024-03-29,8,1.665694019297324e-05,mid
2024-03-29,9,1.3978495325450073e-05,mid
2024-03-29,10,1.0010249693158999e-05,low
2024-03-29,11,1.0390473761726476e-05,low
2024-03-29,12,1.5885346024544888e-05,mid
2024-03-29,13,1.59879569756917e-05,mid
2024-03-29,14,1.3081051605326588e-05,mid
2024-03-29,15,6.504333093525162e-05,high
2024-03-29,16,2.355261621470074e-05,high
2024-03-29,17,1.464261789133975e-05,mid
2024-03-29,18,9.582376525266445e-06,low
2024-03-29,19,6.066422838517912e-06,low
2024-03-29,20,5.056416298333717e-06,low
2024-03-29,21,5.040497794368172e-06,low
2024-03-29,22,1.0022052824511646e-05,low
2024-03-29,23,7.774647294479627e-06,low
