param,value,n_candidates,F1_raw_lomn,F1_lomn_xgb,TP_xgb,FP_xgb,n_pos,n_neg,h_n
candidate_threshold,1.5,3601.0,0.6060606060606061,0.6226415094339622,99,91,,,
candidate_threshold,2.0,3601.0,0.6060606060606061,0.6226415094339622,99,91,,,
candidate_threshold,2.5,2155.0,0.6141732283464567,0.6461538461538462,84,58,,,
candidate_threshold,3.0,1298.0,0.6382978723404256,0.6877828054298644,76,46,,,
persistence_pos_z,3.0,,0.4621513944223108,0.6817496229260935,226,71,1781.0,797.0,
persistence_pos_z,4.0,,0.5779036827195468,0.6582809224318659,157,103,965.0,797.0,
persistence_pos_z,5.0,,0.6060606060606061,0.6226415094339622,99,91,509.0,797.0,
persistence_pos_z,6.0,,0.5096153846153847,0.5520361990950226,61,88,284.0,797.0,
block_constant_c,0.5,7196.0,0.5630252100840336,0.644343891402715,356,301,,,22.0
block_constant_c,0.75,4763.0,0.620347394540943,0.5898203592814371,197,241,,,33.0
block_constant_c,1.0,3601.0,0.6060606060606061,0.6226415094339622,99,91,,,44.0
block_constant_c,1.5,2331.0,0.3851851851851852,0.46913580246913583,19,19,,,66.0
block_constant_c,2.0,1667.0,0.2784810126582279,0.0,0,0,,,88.0
