day,n_jumps,mu_hawkes,alpha,beta,branching,logL_hawkes,mu_poisson,logL_poisson,LR,lr_p_value_df2,converged
2024-03-15,39,0.00011239808410620273,0.0013240615252017634,0.0017630760443781966,0.7509951311650512,-306.54450828607696,0.00045138888888888887,-339.4240710378375,65.75912550352109,5.218048215738236e-15,True
2024-03-16,32,0.00014900442202100421,0.0010532920133006793,0.0017365618376946796,0.6065387309783021,-263.4990971141919,0.00037037037037037035,-284.83222566375747,42.666257099131144,5.434254157776763e-10,True
2024-03-17,20,0.00012611996893965348,0.0005649012769953719,0.0012410986708881625,0.45516226086288036,-182.83775502242236,0.0002314814814814815,-187.4202136247631,9.164917204681501,0.010229714552996927,True
2024-03-18,27,0.00015152314836824727,0.0008489772077553295,0.001648095631604423,0.5151261804685746,-233.9869777323146,0.0003125,-244.91446439727105,21.854973329912866,1.7957788005396047e-05,True
2024-03-19,18,0.00016688837278949043,0.0004901157767501368,0.0024636804843978775,0.1989364204709041,-169.01550610593824,0.00020833333333333335,-170.57468154412769,3.1183508763788836,0.21030941283572258,True
2024-03-20,27,0.0001782316295649346,0.0018463048926092933,0.004297140308953916,0.4296589731459694,-229.25083649274023,0.0003125,-244.91446439727105,31.327255809061626,1.5753346827018788e-07,True
2024-03-21,28,0.00017330977937504764,0.0008184473794042345,0.0017592856611995673,0.46521573923712706,-244.39821161305682,0.00032407407407407406,-252.96707644927443,17.137729672435228,0.00018992812701879025,True
2024-03-22,43,0.00020800040926340248,0.0012189709154504633,0.002052208569753493,0.5939800337140604,-348.5168396237914,0.0004976851851851852,-370.03834208123914,43.043004914895505,4.5012205074357325e-10,True
2024-03-23,28,0.0002852538041688655,0.0021653798270513665,0.01806938893731358,0.11983691504806906,-250.29589756968716,0.00032407407407407406,-252.96707644927443,5.342357759174547,0.06917063337753637,True
2024-03-24,24,0.00010149196315411229,0.0002460332728219274,0.000373784538807304,0.6582221768909607,-214.24382262063116,0.0002777777777777778,-220.5285389866608,12.569432732059283,0.0018645857546447653,True
2024-03-25,43,0.00013827809578752343,0.0007445222800766399,0.001024936259736452,0.7264083722319312,-345.8216085206404,0.0004976851851851852,-370.03834208123914,48.43346712119751,3.0395241878977686e-11,True
2024-03-26,52,0.00014554644424690001,0.0007999172533998684,0.0010549266698240388,0.7582681112169571,-401.0118298623316,0.0006018518518518519,-437.6059602829574,73.18826084125169,1.1102230246251565e-16,True
2024-03-27,60,0.00010466103216925884,0.0006691407959757996,0.0007790719209239811,0.8588947669711894,-437.3240764745018,0.0006944444444444445,-496.3439035542028,118.03965415940206,0.0,True
2024-03-28,36,0.00015763875500762409,0.00040057009111534465,0.0006443476963884607,0.6216676079708544,-305.2088334968756,0.0004166666666666667,-316.19606458809733,21.974462182443403,1.6916330662475332e-05,True
2024-03-29,32,0.00016581316918567402,0.0015033982555697322,0.002722045994178346,0.5523045013879478,-268.7876669734307,0.00037037037037037035,-284.83222566375747,32.08911738065353,1.0763083169162968e-07,True
