symbol,regime,F1_xgb,F1_raw_lomn,lift
BTCUSDT,low,0.4444444444444445,1.0,-0.5555555555555556
BTCUSDT,mid,0.37037037037037035,0.41176470588235287,-0.041394335511982516
BTCUSDT,high,0.49289099526066354,0.6131386861313869,-0.12024769087072334
ETHUSDT,low,0.19999999999999998,0.2857142857142857,-0.08571428571428572
ETHUSDT,mid,0.42857142857142855,0.5714285714285715,-0.14285714285714296
ETHUSDT,high,0.5764705882352941,0.6554621848739496,-0.07899159663865551
SOLUSDT,low,0.3076923076923077,0.5714285714285715,-0.2637362637362638
SOLUSDT,mid,0.3448275862068966,0.5185185185185186,-0.17369093231162203
SOLUSDT,high,0.50199203187251,0.6225165562913907,-0.12052452441888073
