noise_scale,jump_size,n_reps,rejection_rate_gumbel,rejection_rate_calibrated,tmax_mean,tmax_q95,calibrated_cv,gumbel_cv,h_n,m_blocks_eff
0.0005,0.0,500,0.066,0.06,3.9337117453217214,4.835943797830725,4.687654346663987,4.663059746568221,29,805
0.0005,0.0025,500,0.1,0.09,4.007133880100011,4.967368827251494,4.687654346663987,4.663059746568221,29,805
0.0005,0.005,500,0.774,0.768,5.660859910440217,7.620116483324099,4.687654346663987,4.663059746568221,29,805
0.0005,0.01,500,1.0,1.0,11.340245117884312,13.647323184550043,4.687654346663987,4.663059746568221,29,805
0.0005,0.02,500,1.0,1.0,23.118256128543944,25.97437804053299,4.687654346663987,4.663059746568221,29,805
0.001,0.0,500,0.056,0.042,3.856118641648581,4.711645528156418,4.756820317050128,4.663059746568221,29,805
0.001,0.0025,500,0.108,0.084,3.9834963020262957,4.9717074543483495,4.756820317050128,4.663059746568221,29,805
0.001,0.005,500,0.744,0.704,5.5235982635199585,7.548829804674587,4.756820317050128,4.663059746568221,29,805
0.001,0.01,500,1.0,1.0,11.21594030687448,13.50935552341379,4.756820317050128,4.663059746568221,29,805
0.001,0.02,500,1.0,1.0,22.649691376030493,25.30542829612965,4.756820317050128,4.663059746568221,29,805
0.002,0.0,500,0.042,0.044,3.8499546054649456,4.613899682191437,4.658380345752224,4.663059746568221,29,805
0.002,0.0025,500,0.092,0.094,3.958846674999407,4.954520419843173,4.658380345752224,4.663059746568221,29,805
0.002,0.005,500,0.702,0.702,5.339439330412475,7.188340193588817,4.658380345752224,4.663059746568221,29,805
0.002,0.01,500,1.0,1.0,10.884493245368196,13.117457815900217,4.658380345752224,4.663059746568221,29,805
0.002,0.02,500,1.0,1.0,22.044720622062663,24.713213244148466,4.658380345752224,4.663059746568221,29,805
0.005,0.0,500,0.044,0.056,3.823949625235565,4.6236723041700305,4.616499114522913,4.663059746568221,29,805
0.005,0.0025,500,0.098,0.112,3.9210610608270864,4.829172409658969,4.616499114522913,4.663059746568221,29,805
0.005,0.005,500,0.584,0.602,5.05469560466567,7.032466539707666,4.616499114522913,4.663059746568221,29,805
0.005,0.01,500,1.0,1.0,10.018718063552082,12.138056930555194,4.616499114522913,4.663059746568221,29,805
0.005,0.02,500,1.0,1.0,20.791406932182852,23.468555935071286,4.616499114522913,4.663059746568221,29,805
